player1_name,player1_age,player1_height,player1_ranking_points,player1_elo,winner_hand_1,winner_hand_2,player1_wins,player1_losses,player1_total_games,player1_W/total_games,player1_Wins_per_surface,player1_Losses_per_surface,player1_total_games_per_surface,player1_W/total_games_per_surface,player1_won_h2h,player2_name,player2_age,player2_height,player2_ranking_points,player2_elo,loser_hand_1,loser_hand_2,player2_wins,player2_losses,player2_total_games,player2_W/total_games,player2_Wins_per_surface,player2_Losses_per_surface,player2_total_games_per_surface,player2_W/total_games_per_surface,player2_won_h2h,games_h2h,player1_winrate,surface_1,surface_2,draw_size_1,draw_size_2,draw_size_3,draw_size_4,draw_size_5,best_of_3,round_1,round_2,round_3,round_4,round_5,round_6,round_7,outcome
Benjamin Hassan,25.073237508600002,,109.0,1567.1867316212902,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Jirat Navasirisomboon,23.288158795300003,,2.0,1508.4872197312022,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Laurynas Grigelis,28.550308008200002,183.0,59.0,1468.357303194657,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Frederico Ferreira Silva,24.958247775500002,,268.0,1489.8997881438054,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Patrik Niklas Salminen,22.992470910300003,,81.0,1479.9316995170782,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Manuel Sanchez,29.155373032199996,,17.0,1512.2725914615924,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Darian King,27.8494182067,,176.0,1562.7254158536864,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Viktor Durasovic,22.954140999299998,,115.0,1413.1909268528398,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aisam Ul Haq Qureshi,39.9589322382,183.0,,1512.7268039982664,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Nik Razborsek,26.409308692699998,,26.0,1488.0592077862698,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sandro Ehrat,28.8733744011,180.0,93.0,1471.9709607040143,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Juan Pablo Varillas,24.4052019165,,403.0,1445.4411471187832,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,2.0,50.0,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Daniel Cukierman,24.648870636599998,,16.0,1469.039403243273,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Cem Ilkel,24.5311430527,,257.0,1383.1841320140422,0.0,1.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sergiy Stakhovsky,34.1519507187,193.0,307.0,1529.127459225564,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,Chun Hsin Tseng,18.5653661875,,159.0,1508.7397476645115,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Finn Tearney,29.4291581109,,9.0,1445.163205941569,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Jordi Munoz Abreu,30.12183436,,4.0,1443.9720203262818,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Julian Saborio,23.3292265572,,,1468.8820145560815,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Dimitar Kuzmanov,26.5954825462,,126.0,1487.7011321896875,0.0,0.0,2.0,1.0,3.0,66.66666666666667,2.0,1.0,3.0,66.66666666666667,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mikael Torpegaard,25.8179329227,,304.0,1489.5840717947547,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Quinton Vega,27.2744695414,,,1500.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alberto Emmanuel Alvarado Larin,25.2511978097,,,1383.0024924305606,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Blaise Bicknell,,,3.0,1500.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nikoloz Basilashvili,28.0219028063,185.0,1395.0,1674.037439340895,0.0,1.0,3.0,5.0,8.0,37.5,3.0,5.0,8.0,37.5,0,Vladimir Ivanov,32.8952772074,,24.0,1525.193836821689,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Aziz Dougaz,22.934976043800003,,107.0,1449.3023567241319,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Wilfredo Gonzalez,27.151266256,,7.0,1508.5249069050633,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Christopher Rungkat,30.1300479124,,,1585.2510512371796,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Sheil Kotecha,19.9288158795,,3.0,1500.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Karlis Ozolins,,,,1500.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Mohamed Safwat,29.4510609172,183.0,407.0,1442.0749482609149,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
