Wins,Losses,total_games,W/total_games,Wins_per_surface,Losses_per_surface,total_games_per_surface,W/total_games_per_surface,player_name,winner,loser,tourney name
0,2,2,0.0,0,2,2,0.0,Mohamed Safwat,Mohamed Safwat,Karlis Ozolins,Davis Cup WG2 PO: LAT vs EGY
0,0,0,,0,0,0,,Karlis Ozolins,Mohamed Safwat,Karlis Ozolins,Davis Cup WG2 PO: LAT vs EGY
0,0,0,,0,0,0,,Lamine Ouahab,Lamine Ouahab,Nam Hoang Ly,Davis Cup WG2 PO: MAR vs VIE
0,0,0,,0,0,0,,Nam Hoang Ly,Lamine Ouahab,Nam Hoang Ly,Davis Cup WG2 PO: MAR vs VIE
0,0,0,,0,0,0,,Adolfo Daniel Vallejo,Adolfo Daniel Vallejo,Sharmal Dissanayake,Davis Cup WG2 PO: PAR vs SRI
0,0,0,,0,0,0,,Sharmal Dissanayake,Adolfo Daniel Vallejo,Sharmal Dissanayake,Davis Cup WG2 PO: PAR vs SRI
16,6,22,72.72727272727273,0,0,0,,Stefanos Tsitsipas,Stefanos Tsitsipas,Alberto Lim,Davis Cup WG2 PO: PHI vs GRE
0,0,0,,0,0,0,,Alberto Lim,Stefanos Tsitsipas,Alberto Lim,Davis Cup WG2 PO: PHI vs GRE
1,1,2,50.0,1,1,2,50.0,Kacper Zuk,Kacper Zuk,Ching Lam,Davis Cup WG2 PO: POL vs HKG
0,0,0,,0,0,0,,Ching Lam,Kacper Zuk,Ching Lam,Davis Cup WG2 PO: POL vs HKG
0,0,0,,0,0,0,,Hazem Naw,Hazem Naw,Mehluli Don Ayanda Sibanda,Davis Cup WG2 PO: SYR vs ZIM
0,0,0,,0,0,0,,Mehluli Don Ayanda Sibanda,Hazem Naw,Mehluli Don Ayanda Sibanda,Davis Cup WG2 PO: SYR vs ZIM
6,6,12,50.0,6,4,10,60.0,Juan Ignacio Londero,Juan Ignacio Londero,Santiago Giraldo,Davis Cup QLS R1: ARG vs COL
0,1,1,0.0,0,0,0,,Santiago Giraldo,Juan Ignacio Londero,Santiago Giraldo,Davis Cup QLS R1: ARG vs COL
6,5,11,54.54545454545455,6,5,11,54.54545454545455,John Millman,John Millman,Thiago Seyboth Wild,Davis Cup QLS R1: AUS vs BRA
6,1,7,85.71428571428571,0,0,0,,Thiago Seyboth Wild,John Millman,Thiago Seyboth Wild,Davis Cup QLS R1: AUS vs BRA
5,9,14,35.714285714285715,1,5,6,16.666666666666668,Pablo Cuevas,Pablo Cuevas,Jurij Rodionov,Davis Cup QLS R1: AUT vs URU
0,0,0,,0,0,0,,Jurij Rodionov,Pablo Cuevas,Jurij Rodionov,Davis Cup QLS R1: AUT vs URU
5,5,10,50.0,0,0,0,,Marton Fucsovics,Marton Fucsovics,Kimmer Coppejans,Davis Cup QLS R1: BEL vs HUN
0,1,1,0.0,0,0,0,,Kimmer Coppejans,Marton Fucsovics,Kimmer Coppejans,Davis Cup QLS R1: BEL vs HUN
6,4,10,60.0,6,4,10,60.0,Marin Cilic,Marin Cilic,Ramkumar Ramanathan,Davis Cup QLS R1: CRO vs IND
0,1,1,0.0,0,1,1,0.0,Ramkumar Ramanathan,Marin Cilic,Ramkumar Ramanathan,Davis Cup QLS R1: CRO vs IND
0,1,1,0.0,0,0,0,,Lukas Rosol,Lukas Rosol,Andrej Martin,Davis Cup QLS R1: CZE vs SVK
3,4,7,42.857142857142854,3,4,7,42.857142857142854,Andrej Martin,Lukas Rosol,Andrej Martin,Davis Cup QLS R1: CZE vs SVK
7,3,10,70.0,7,3,10,70.0,Egor Gerasimov,Egor Gerasimov,Philipp Kohlschreiber,Davis Cup QLS R1: GER vs BLR
4,4,8,50.0,4,4,8,50.0,Philipp Kohlschreiber,Egor Gerasimov,Philipp Kohlschreiber,Davis Cup QLS R1: GER vs BLR
0,0,0,,0,0,0,,Roberto Quiroz,Roberto Quiroz,Yasutaka Uchiyama,Davis Cup QLS R1: JPN vs ECU
1,5,6,16.666666666666668,1,5,6,16.666666666666668,Yasutaka Uchiyama,Roberto Quiroz,Yasutaka Uchiyama,Davis Cup QLS R1: JPN vs ECU
9,8,17,52.94117647058823,9,8,17,52.94117647058823,Alexander Bublik,Alexander Bublik,Tallon Griekspoor,Davis Cup QLS R1: KAZ vs NED
0,3,3,0.0,0,3,3,0.0,Tallon Griekspoor,Alexander Bublik,Tallon Griekspoor,Davis Cup QLS R1: KAZ vs NED
2,2,4,50.0,1,1,2,50.0,Alejandro Tabilo,Alejandro Tabilo,Elias Ymer,Davis Cup QLS R1: SWE vs CHI
0,0,0,,0,0,0,,Elias Ymer,Alejandro Tabilo,Elias Ymer,Davis Cup QLS R1: SWE vs CHI
8,7,15,53.333333333333336,8,7,15,53.333333333333336,Taylor Fritz,Taylor Fritz,Sanjar Fayziev,Davis Cup QLS R1: USA vs UZB
0,0,0,,0,0,0,,Sanjar Fayziev,Taylor Fritz,Sanjar Fayziev,Davis Cup QLS R1: USA vs UZB
5,5,10,50.0,5,5,10,50.0,Lloyd Harris,Lloyd Harris,Mirza Basic,Davis Cup WG1 PO: BIH vs RSA
0,0,0,,0,0,0,,Mirza Basic,Lloyd Harris,Mirza Basic,Davis Cup WG1 PO: BIH vs RSA
0,0,0,,0,0,0,,Roberto Cid,Roberto Cid,Federico Zeballos,Davis Cup WG1 PO: BOL vs DOM
0,0,0,,0,0,0,,Federico Zeballos,Roberto Cid,Federico Zeballos,Davis Cup WG1 PO: BOL vs DOM
0,0,0,,0,0,0,,Wishaya Trongcharoenchaikul,Wishaya Trongcharoenchaikul,Hasan Ibrahim,Davis Cup WG1 PO: LBN vs THA
0,0,0,,0,0,0,,Hasan Ibrahim,Wishaya Trongcharoenchaikul,Hasan Ibrahim,Davis Cup WG1 PO: LBN vs THA
0,5,5,0.0,0,5,5,0.0,Joao Sousa,Joao Sousa,Julius Tverijonas,Davis Cup WG1 PO: LTU vs POR
0,0,0,,0,0,0,,Julius Tverijonas,Joao Sousa,Julius Tverijonas,Davis Cup WG1 PO: LTU vs POR
0,1,1,0.0,0,0,0,,Gerardo Lopez Villasenor,Gerardo Lopez Villasenor,Otto Virtanen,Davis Cup WG1 PO: MEX vs FIN
0,0,0,,0,0,0,,Otto Virtanen,Gerardo Lopez Villasenor,Otto Virtanen,Davis Cup WG1 PO: MEX vs FIN
10,5,15,66.66666666666667,2,3,5,40.0,Casper Ruud,Casper Ruud,Haydn Lewis,Davis Cup WG1 PO: NOR vs BAR
0,0,0,,0,0,0,,Haydn Lewis,Casper Ruud,Haydn Lewis,Davis Cup WG1 PO: NOR vs BAR
0,0,0,,0,0,0,,Aqeel Khan,Aqeel Khan,Blaz Kavcic,Davis Cup WG1 PO: PAK vs SLO
0,0,0,,0,0,0,,Blaz Kavcic,Aqeel Khan,Blaz Kavcic,Davis Cup WG1 PO: PAK vs SLO
0,3,3,0.0,0,0,0,,Henri Laaksonen,Henri Laaksonen,Nicolas Alvarez,Davis Cup WG1 PO: PER vs SUI
0,0,0,,0,0,0,,Nicolas Alvarez,Henri Laaksonen,Nicolas Alvarez,Davis Cup WG1 PO: PER vs SUI
0,0,0,,0,0,0,,Altug Celikbilek,Altug Celikbilek,Ben Patael,Davis Cup WG1 PO: TUR vs ISR
0,0,0,,0,0,0,,Ben Patael,Altug Celikbilek,Ben Patael,Davis Cup WG1 PO: TUR vs ISR
0,0,0,,0,0,0,,Tung Lin Wu,Tung Lin Wu,Illya Marchenko,Davis Cup WG1 PO: UKR vs TPE
0,0,0,,0,0,0,,Illya Marchenko,Tung Lin Wu,Illya Marchenko,Davis Cup WG1 PO: UKR vs TPE
0,0,0,,0,0,0,,Luis David Martinez,Luis David Martinez,Ajeet Rai,Davis Cup WG1 PO: VEN vs NZL
0,0,0,,0,0,0,,Ajeet Rai,Luis David Martinez,Ajeet Rai,Davis Cup WG1 PO: VEN vs NZL
0,0,0,,0,0,0,,Alexandar Lazarov,Alexandar Lazarov,Jesse Flores,Davis Cup WG2 PO: CRC vs BUL
0,0,0,,0,0,0,,Jesse Flores,Alexandar Lazarov,Jesse Flores,Davis Cup WG2 PO: CRC vs BUL
0,0,0,,0,0,0,,Marcelo Arevalo,Marcelo Arevalo,Rowland Phillips,Davis Cup WG2 PO: ESA vs JAM
0,0,0,,0,0,0,,Rowland Phillips,Marcelo Arevalo,Rowland Phillips,Davis Cup WG2 PO: ESA vs JAM
0,0,0,,0,0,0,,Kristjan Tamm,Kristjan Tamm,Aleksandre Metreveli,Davis Cup WG2 PO: GEO vs EST
1,2,3,33.333333333333336,1,2,3,33.333333333333336,Aleksandre Metreveli,Kristjan Tamm,Aleksandre Metreveli,Davis Cup WG2 PO: GEO vs EST
0,2,2,0.0,0,2,2,0.0,Malek Jaziri,Malek Jaziri,Franz Luna Lavidalie,Davis Cup WG2 PO: GUA vs TUN
0,0,0,,0,0,0,,Franz Luna Lavidalie,Malek Jaziri,Franz Luna Lavidalie,Davis Cup WG2 PO: GUA vs TUN
0,0,0,,0,0,0,,David Agung Susanto,David Agung Susanto,Ismael Changawa Ruwa Mzai,Davis Cup WG2 PO: INA vs KEN
0,0,0,,0,0,0,,Ismael Changawa Ruwa Mzai,David Agung Susanto,Ismael Changawa Ruwa Mzai,Davis Cup WG2 PO: INA vs KEN
2,2,4,50.0,2,2,4,50.0,Ernests Gulbis,Ernests Gulbis,Karim Mohamed Maamoun,Davis Cup WG2 PO: LAT vs EGY
0,0,0,,0,0,0,,Karim Mohamed Maamoun,Ernests Gulbis,Karim Mohamed Maamoun,Davis Cup WG2 PO: LAT vs EGY
0,0,0,,0,0,0,,Adam Moundir,Adam Moundir,Phuong Van Nguyen,Davis Cup WG2 PO: MAR vs VIE
0,0,0,,0,0,0,,Phuong Van Nguyen,Adam Moundir,Phuong Van Nguyen,Davis Cup WG2 PO: MAR vs VIE
0,0,0,,0,0,0,,Petros Tsitsipas,Petros Tsitsipas,Jeson Patrombon,Davis Cup WG2 PO: PHI vs GRE
0,0,0,,0,0,0,,Jeson Patrombon,Petros Tsitsipas,Jeson Patrombon,Davis Cup WG2 PO: PHI vs GRE
0,0,0,,0,0,0,,Jerzy Janowicz,Jerzy Janowicz,Pak Long Yeung,Davis Cup WG2 PO: POL vs HKG
0,0,0,,0,0,0,,Pak Long Yeung,Jerzy Janowicz,Pak Long Yeung,Davis Cup WG2 PO: POL vs HKG
0,0,0,,0,0,0,,Benjamin Lock,Benjamin Lock,Amer Naow,Davis Cup WG2 PO: SYR vs ZIM
0,0,0,,0,0,0,,Amer Naow,Benjamin Lock,Amer Naow,Davis Cup WG2 PO: SYR vs ZIM
1,4,5,20.0,1,0,1,100.0,Daniel Elahi Galan,Daniel Elahi Galan,Juan Ignacio Londero,Davis Cup QLS R1: ARG vs COL
7,6,13,53.84615384615385,7,4,11,63.63636363636363,Juan Ignacio Londero,Daniel Elahi Galan,Juan Ignacio Londero,Davis Cup QLS R1: ARG vs COL
7,5,12,58.333333333333336,7,5,12,58.333333333333336,John Millman,John Millman,Thiago Monteiro,Davis Cup QLS R1: AUS vs BRA
6,7,13,46.15384615384615,1,3,4,25.0,Thiago Monteiro,John Millman,Thiago Monteiro,Davis Cup QLS R1: AUS vs BRA
3,6,9,33.333333333333336,3,6,9,33.333333333333336,Dennis Novak,Dennis Novak,Pablo Cuevas,Davis Cup QLS R1: AUT vs URU
6,9,15,40.0,2,5,7,28.571428571428573,Pablo Cuevas,Dennis Novak,Pablo Cuevas,Davis Cup QLS R1: AUT vs URU
4,3,7,57.142857142857146,4,3,7,57.142857142857146,Attila Balazs,Attila Balazs,Kimmer Coppejans,Davis Cup QLS R1: BEL vs HUN
0,2,2,0.0,0,1,1,0.0,Kimmer Coppejans,Attila Balazs,Kimmer Coppejans,Davis Cup QLS R1: BEL vs HUN
7,4,11,63.63636363636363,7,4,11,63.63636363636363,Marin Cilic,Marin Cilic,Sumit Nagal,Davis Cup QLS R1: CRO vs IND
0,1,1,0.0,0,1,1,0.0,Sumit Nagal,Marin Cilic,Sumit Nagal,Davis Cup QLS R1: CRO vs IND
6,1,7,85.71428571428571,1,0,1,100.0,Jiri Vesely,Jiri Vesely,Andrej Martin,Davis Cup QLS R1: CZE vs SVK
3,5,8,37.5,3,5,8,37.5,Andrej Martin,Jiri Vesely,Andrej Martin,Davis Cup QLS R1: CZE vs SVK
7,7,14,50.0,7,7,14,50.0,Jan Lennard Struff,Jan Lennard Struff,Egor Gerasimov,Davis Cup QLS R1: GER vs BLR
8,3,11,72.72727272727273,8,3,11,72.72727272727273,Egor Gerasimov,Jan Lennard Struff,Egor Gerasimov,Davis Cup QLS R1: GER vs BLR
10,8,18,55.55555555555556,10,8,18,55.55555555555556,Alexander Bublik,Alexander Bublik,Robin Haase,Davis Cup QLS R1: KAZ vs NED
3,1,4,75.0,3,1,4,75.0,Robin Haase,Alexander Bublik,Robin Haase,Davis Cup QLS R1: KAZ vs NED
5,5,10,50.0,5,5,10,50.0,Mikael Ymer,Mikael Ymer,Alejandro Tabilo,Davis Cup QLS R1: SWE vs CHI
3,2,5,60.0,2,1,3,66.66666666666667,Alejandro Tabilo,Mikael Ymer,Alejandro Tabilo,Davis Cup QLS R1: SWE vs CHI
8,5,13,61.53846153846154,8,5,13,61.53846153846154,Tommy Paul,Tommy Paul,Denis Istomin,Davis Cup QLS R1: USA vs UZB
0,2,2,0.0,0,2,2,0.0,Denis Istomin,Tommy Paul,Denis Istomin,Davis Cup QLS R1: USA vs UZB
1,5,6,16.666666666666668,1,5,6,16.666666666666668,Damir Dzumhur,Damir Dzumhur,Lloyd Harris,Davis Cup WG1 PO: BIH vs RSA
6,5,11,54.54545454545455,6,5,11,54.54545454545455,Lloyd Harris,Damir Dzumhur,Lloyd Harris,Davis Cup WG1 PO: BIH vs RSA
3,5,8,37.5,3,4,7,42.857142857142854,Hugo Dellien,Hugo Dellien,Roberto Cid,Davis Cup WG1 PO: BOL vs DOM
1,0,1,100.0,1,0,1,100.0,Roberto Cid,Hugo Dellien,Roberto Cid,Davis Cup WG1 PO: BOL vs DOM
1,0,1,100.0,1,0,1,100.0,Benjamin Hassan,Benjamin Hassan,Wishaya Trongcharoenchaikul,Davis Cup WG1 PO: LBN vs THA
1,0,1,100.0,1,0,1,100.0,Wishaya Trongcharoenchaikul,Benjamin Hassan,Wishaya Trongcharoenchaikul,Davis Cup WG1 PO: LBN vs THA
4,2,6,66.66666666666667,0,0,0,,Pedro Sousa,Pedro Sousa,Laurynas Grigelis,Davis Cup WG1 PO: LTU vs POR
0,1,1,0.0,0,1,1,0.0,Laurynas Grigelis,Pedro Sousa,Laurynas Grigelis,Davis Cup WG1 PO: LTU vs POR
1,1,2,50.0,1,0,1,100.0,Gerardo Lopez Villasenor,Gerardo Lopez Villasenor,Harri Heliovaara,Davis Cup WG1 PO: MEX vs FIN
0,0,0,,0,0,0,,Harri Heliovaara,Gerardo Lopez Villasenor,Harri Heliovaara,Davis Cup WG1 PO: MEX vs FIN
0,0,0,,0,0,0,,Lukas Hellum Lilleengen,Lukas Hellum Lilleengen,Kaipo Marshall,Davis Cup WG1 PO: NOR vs BAR
0,0,0,,0,0,0,,Kaipo Marshall,Lukas Hellum Lilleengen,Kaipo Marshall,Davis Cup WG1 PO: NOR vs BAR
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Juan Pablo Varillas,Juan Pablo Varillas,Henri Laaksonen,Davis Cup WG1 PO: PER vs SUI
1,3,4,25.0,1,0,1,100.0,Henri Laaksonen,Juan Pablo Varillas,Henri Laaksonen,Davis Cup WG1 PO: PER vs SUI
0,0,0,,0,0,0,,Edan Leshem,Edan Leshem,Cem Ilkel,Davis Cup WG1 PO: TUR vs ISR
1,2,3,33.333333333333336,0,1,1,0.0,Cem Ilkel,Edan Leshem,Cem Ilkel,Davis Cup WG1 PO: TUR vs ISR
0,2,2,0.0,0,2,2,0.0,Sergiy Stakhovsky,Sergiy Stakhovsky,Tung Lin Wu,Davis Cup WG1 PO: UKR vs TPE
1,0,1,100.0,1,0,1,100.0,Tung Lin Wu,Sergiy Stakhovsky,Tung Lin Wu,Davis Cup WG1 PO: UKR vs TPE
0,0,0,,0,0,0,,Jose Rubin Statham,Jose Rubin Statham,Brandon Perez,Davis Cup WG1 PO: VEN vs NZL
0,0,0,,0,0,0,,Brandon Perez,Jose Rubin Statham,Brandon Perez,Davis Cup WG1 PO: VEN vs NZL
3,1,4,75.0,3,1,4,75.0,Dimitar Kuzmanov,Dimitar Kuzmanov,Jesse Flores,Davis Cup WG2 PO: CRC vs BUL
0,1,1,0.0,0,1,1,0.0,Jesse Flores,Dimitar Kuzmanov,Jesse Flores,Davis Cup WG2 PO: CRC vs BUL
1,0,1,100.0,1,0,1,100.0,Marcelo Arevalo,Marcelo Arevalo,Blaise Bicknell,Davis Cup WG2 PO: ESA vs JAM
1,0,1,100.0,1,0,1,100.0,Blaise Bicknell,Marcelo Arevalo,Blaise Bicknell,Davis Cup WG2 PO: ESA vs JAM
1,0,1,100.0,1,0,1,100.0,Kristjan Tamm,Kristjan Tamm,Zura Tkemaladze,Davis Cup WG2 PO: GEO vs EST
0,0,0,,0,0,0,,Zura Tkemaladze,Kristjan Tamm,Zura Tkemaladze,Davis Cup WG2 PO: GEO vs EST
1,2,3,33.333333333333336,1,2,3,33.333333333333336,Malek Jaziri,Malek Jaziri,Wilfredo Gonzalez,Davis Cup WG2 PO: GUA vs TUN
1,0,1,100.0,1,0,1,100.0,Wilfredo Gonzalez,Malek Jaziri,Wilfredo Gonzalez,Davis Cup WG2 PO: GUA vs TUN
0,0,0,,0,0,0,,Gunawan Trismuwantara,Gunawan Trismuwantara,Kevin Cheruiyot,Davis Cup WG2 PO: INA vs KEN
0,0,0,,0,0,0,,Kevin Cheruiyot,Gunawan Trismuwantara,Kevin Cheruiyot,Davis Cup WG2 PO: INA vs KEN
3,2,5,60.0,3,2,5,60.0,Ernests Gulbis,Ernests Gulbis,Mohamed Safwat,Davis Cup WG2 PO: LAT vs EGY
1,2,3,33.333333333333336,1,2,3,33.333333333333336,Mohamed Safwat,Ernests Gulbis,Mohamed Safwat,Davis Cup WG2 PO: LAT vs EGY
1,0,1,100.0,1,0,1,100.0,Adolfo Daniel Vallejo,Adolfo Daniel Vallejo,Thehan Sanjaya Wijemanne,Davis Cup WG2 PO: PAR vs SRI
0,0,0,,0,0,0,,Thehan Sanjaya Wijemanne,Adolfo Daniel Vallejo,Thehan Sanjaya Wijemanne,Davis Cup WG2 PO: PAR vs SRI
17,6,23,73.91304347826087,1,0,1,100.0,Stefanos Tsitsipas,Stefanos Tsitsipas,Jeson Patrombon,Davis Cup WG2 PO: PHI vs GRE
0,1,1,0.0,0,1,1,0.0,Jeson Patrombon,Stefanos Tsitsipas,Jeson Patrombon,Davis Cup WG2 PO: PHI vs GRE
0,0,0,,0,0,0,,Maks Kasnikowski,Maks Kasnikowski,Wai Yu Kai,Davis Cup WG2 PO: POL vs HKG
0,0,0,,0,0,0,,Wai Yu Kai,Maks Kasnikowski,Wai Yu Kai,Davis Cup WG2 PO: POL vs HKG
1,0,1,100.0,1,0,1,100.0,Benjamin Lock,Benjamin Lock,Hazem Naw,Davis Cup WG2 PO: SYR vs ZIM
1,0,1,100.0,1,0,1,100.0,Hazem Naw,Benjamin Lock,Hazem Naw,Davis Cup WG2 PO: SYR vs ZIM
6,5,11,54.54545454545455,1,0,1,100.0,Marton Fucsovics,Marton Fucsovics,Ruben Bemelmans,Davis Cup QLS R1: BEL vs HUN
1,0,1,100.0,1,0,1,100.0,Ruben Bemelmans,Marton Fucsovics,Ruben Bemelmans,Davis Cup QLS R1: BEL vs HUN
